"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Wyatt Johnston","Stars","64.05"," - ","C","-","82","33.2","34.9","68.2","3.5","24.4","23.1","7.5","10.7","18.2","212.9","18.9","385.7","44.7","46.1"
"Carter Verhaeghe","Panthers","61.47"," - ","LW","-","79","28.4","34.2","62.7","0.1","42.8","22.1","6.3","10.7","17","249.7","17.9","23.4","24.2","72.9"
"Lucas Raymond","Red Wings","51.35"," - ","RW","-","80","27.1","45.7","72.8","-7.4","23.5","19.6","7","20.7","27.7","176.4","18.8","2.7","29.6","52"
"Brandon Montour","Kraken","51.23"," - ","D","-","77","14.4","29.7","44.1","-9","68.9","11.1","3.4","13.5","16.9","212.6","23","0","85.6","91.2"
"Erik Karlsson","Penguins","50.44"," - ","D","-","74","11.8","42.9","54.7","-13.5","26.7","9.6","2.2","13.3","15.5","176","23.3","0","71.8","29.1"
"Noah Dobson","Canadiens","49.28"," - ","D","-","77","10.4","39.8","50.3","-3.4","28.9","8.7","1.7","15.2","16.9","189.1","22.3","0","136.7","65.1"
"Mackenzie Weegar","Flames","49.06"," - ","D","-","81","11.5","35.9","47.4","6.4","42.1","8.5","3.1","13.4","16.5","194.3","24.2","0","185.9","213.6"
"Aleksander Barkov","Panthers","45.47"," - ","C","-","68.8","21.1","52.6","73.7","6.3","16.8","13","7.4","20.7","28.1","170.7","19.9","611.3","49.6","84.5"
"Robert Thomas","Blues","44.39"," - ","C","-","74.3","22.4","58.4","80.8","5.8","29.7","16.3","5","17.4","22.4","148","20.5","773.4","44.7","14.5"
"Joel Eriksson Ek","Wild","43.35"," - ","C","-","77.3","25.8","31.4","57.3","6.8","47.5","14.4","10.6","9.2","19.8","249.4","19.8","724.8","54.7","144.7"
"Vincent Trocheck","Rangers","42.32"," - ","C","-","82","25.4","41.5","66.9","2.9","51","14.3","7.8","9.3","17.1","214.2","21.3","882.9","74.9","198.9"
"Miro Heiskanen","Stars","41.63"," - ","D","-","73.3","8.7","42.1","50.8","9.7","26.4","7.5","1.2","18.1","19.3","169.1","25","0","105.5","41.7"
"Travis Konecny","Flyers","41.33"," - ","RW","-","74.3","27.9","42.2","70.1","-4.6","61.2","18.8","6.1","7.8","13.9","204.6","20.6","36.7","37","84.9"
"Jake Sanderson","Senators","39.42"," - ","D","-","78.7","9.7","38.2","47.9","-5.7","16","5.8","3.9","19.3","23.2","177.2","24.5","0.3","155.9","43.8"
"Thomas Harley","Stars","37.56"," - ","D","-","78.5","15.5","33.4","48.8","31.3","17.1","14.1","1","11.6","12.6","160.8","22.5","0","120.4","46.5"
